Checked,Status,Unpublished,ID,Label,Alternate Title,Corporate Name,Personal Name,Personal Name Verbose,Place of Publication or Production,Publisher,Date of Publication or Production,Summary,Notes,Topic,Type,Format,Language,Extent,Dimensions,Rights Statement,Library Call Number,Link,Identifier
TRUE,,,CSL00024,"Stephens Hall Space Meeting, November 21, 1994",,"University of California, Berkeley. Chicano Studies Library","Castillo-Speed, Lillian","Castillo-Speed, Lillian","Berkeley, California",,1994,Meeting minutes regarding planning for space for the merged Ethnic Studies Library in Stephens Hall,,"University of California, Berkeley. Ethnic Studies Library|Library administration|Library buildings",Meeting minutes,text,English,2 pages,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00025,"Ground Floor, Stephens Hall: Floor Plan, Revised Jan. 1",,"University of California, Berkeley. Ethnic Studies Library|University of California, Berkeley. Capital Projects",,,"Berkeley, California",,1996?,"Floor plan for the Ethnic Studies Library in Stephens Hall. Stacks, offices, and other functional library spaces indicated in pencil.",,"University of California, Berkeley. Ethnic Studies Library|Library administration|Library buildings",Architectural drawings|Internal documents,image,English,1 page,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00026,"Letter to Nevil Leimanis, February 7, 1996",,"University of California, Berkeley. Ethnic Studies Library|University of California, Berkeley. Capital Projects","Castillo-Speed, Lillian|Poon, Wei Chi|Young, Mary L.|Leimanis, Nevil","Castillo-Speed, Lillian|Poon, Wei Chi|Young, Mary L.|Leimanis, Nevil","Berkeley, California",,1996,"Letter from Lillian Castillo-Speed, Mary L. Young, and Wei Chi Poon, the heads of the three collections in the Ethnic Studies Library, to Nevil Leimanis, the project manager for renovation of Stephens Hall, regarding specifics of renovations to the library space.",,"University of California, Berkeley. Ethnic Studies Library|Library administration|Library buildings",Letters|Internal documents,text,English,1 page,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00027,"Chicano Database Review, in ANSS Currents, Volume 19, Number 1, May 2004",ANSS Currents,,"Nalen, James","Nalen, James","Chicago, Illinois",Association of College and Research Libraries. Anthropology & Sociology Section,2004,"Review of the Chicano Database, in an issue of the ANSS Currents newsletter, May 2004. With a fax cover letter from Sharon Vaughn-Lahman to Lillian Castillo-Speed, May 26, 2004.",,Chicano Database|Technologies|Knowledge organization,Reviews|Newsletters,text|serial,English,5 pages,8.5 x 11 inches,,,,
TRUE,,,CSL00028,OCLC Publicity Flier for the Chicano Database,,OCLC,,,"Dublin, Ohio",OCLC,2007,"Publicity flier for the Chicano Database in OCLC FirstSearch, describing features and ordering information for the database. The database migrated from Research Libraries Group’s Eureka service in 2007.",,Chicano Database|Technologies|Knowledge organization,Advertisements|Fliers,text,English,2 pages,8.5 x 11 inches,,,,
TRUE,,,CSL00029,"Letter from Sally H. McCallum to Lillian Castillo-Speed, May 24, 1990",,"Library of Congress. Network Development and MARC Standards Office
","McCallum, Sally H.|Castillo-Speed, Lillian","McCallum, Sally H.|Castillo-Speed, Lillian","Washington, D.C.",,1990,"Letter from Sally McCallum of the Library of Congress Network Development and MARC Standards Office to Lillian Castillo-Speed, concerning the establishment of the official MARC subject heading source code ""cht"" for the Chicano Thesaurus, enabling the thesaurus to be used alongside Library of Congress subject headings in machine-readable catalog records.",,Chicano Thesaurus|Knowledge organization|Technologies,Letters,text,English,1 page,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00030,"Chicano Studies Library Newsletter (Volume 1, Number 2, June 1985)",CSL Newsletter,"University of California, Berkeley. Chicano Studies Library",,,"Berkeley, California",,1985,An issue of the Chicano Studies Library newsletter from June 1985.,,"University of California, Berkeley. Chicano Studies Library|Library administration|Library outreach",Newsletters,text|serial,English,4 pages,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991005424259706532,
TRUE,,,CSL00031,"Chicano Studies Library Newsletter (Volume 3, Number 1, March 1987)",CSL Newsletter,"University of California, Berkeley. Chicano Studies Library","Castillo-Speed, Lillian|Soto, Carolyn","Castillo-Speed, Lillian|Soto, Carolyn","Berkeley, California",,1987,An issue of the Chicano Studies Library newsletter from March 1987.,,"University of California, Berkeley. Chicano Studies Library|Library administration|Library outreach",Newsletters,text|serial,English,4 pages,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991005424259706532,
TRUE,,,CSL00032,"Chicano Studies Library Newsletter (Volume 2, Number 1, February 1986)",CSL Newsletter,"University of California, Berkeley. Chicano Studies Library",,,"Berkeley, California",,1986,An issue of the Chicano Studies Library newsletter from February 1986.,,"University of California, Berkeley. Chicano Studies Library|Library administration|Library outreach",Newsletters,text|serial,English,5 pages,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991005424259706532,
TRUE,,,CSL00033,"Chicano Studies Library Newsletter (Volume 4, Number 2, May 1989)",CSL Newsletter,"University of California, Berkeley. Chicano Studies Library","Castillo-Speed, Lillian|Soto, Carolyn","Castillo-Speed, Lillian|Soto, Carolyn","Berkeley, California",,1989,An issue of the Chicano Studies Library newsletter from May 1989.,,"University of California, Berkeley. Chicano Studies Library|Library administration|Library outreach",Newsletters,text|serial,English,4 pages,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991005424259706532,
